kills,actions,timer,hits_taken,total_damage_taken,hit_miss_ratio,token,created_at
9.0,44,25,3.0,72.41386,0.8604651,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODE0OTYsImp0aSI6IjA0NGQzN2M3LTMxOTktNGQ5My1iODc1LWIwYjRhMGU1NzRmZSJ9.,2023-08-09 11:46:53 UTC
0.0,2,5,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODc4NDYsImp0aSI6IjZjNmM0M2Y2LTliNGYtNDZhMi04MGQyLWJiYzgwYmFlNGI3OSJ9.,2023-08-09 13:31:47 UTC
0.0,9,10,1.0,15.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODc4NDYsImp0aSI6IjZjNmM0M2Y2LTliNGYtNDZhMi04MGQyLWJiYzgwYmFlNGI3OSJ9.,2023-08-09 13:31:52 UTC
0.0,15,15,2.0,30.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODc4NDYsImp0aSI6IjZjNmM0M2Y2LTliNGYtNDZhMi04MGQyLWJiYzgwYmFlNGI3OSJ9.,2023-08-09 13:31:57 UTC
1.0,30,20,4.0,63.80288,1.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1ODc4NDYsImp0aSI6IjZjNmM0M2Y2LTliNGYtNDZhMi04MGQyLWJiYzgwYmFlNGI3OSJ9.,2023-08-09 13:32:02 UTC
2.0,2,5,0.0,0.0,1.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:56:39 UTC
2.0,24,10,0.0,0.0,0.7272727,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:56:44 UTC
5.0,37,15,0.0,0.0,0.7692308,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:56:49 UTC
5.0,55,20,0.0,0.0,0.7692308,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:56:54 UTC
6.0,76,25,0.0,0.0,0.7741935,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:00 UTC
8.0,86,30,0.0,0.0,0.7619048,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:04 UTC
10.0,106,35,0.0,0.0,0.7272727,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:09 UTC
11.0,118,40,0.0,0.0,0.7333333,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:14 UTC
13.0,126,45,0.0,0.0,0.7323943,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:19 UTC
13.0,137,50,0.0,0.0,0.7432432,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:24 UTC
17.0,163,55,0.0,0.0,0.7311828,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:29 UTC
17.0,172,60,0.0,0.0,0.7311828,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:34 UTC
17.0,173,65,0.0,0.0,0.7340425,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:39 UTC
22.0,181,70,0.0,0.0,0.7647059,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:44 UTC
25.0,190,75,0.0,0.0,0.7462686,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:49 UTC
27.0,194,80,0.0,0.0,0.739726,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:54 UTC
32.0,205,85,0.0,0.0,0.7321429,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:57:59 UTC
37.0,211,90,0.0,0.0,0.7263158,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:58:04 UTC
42.0,219,95,0.0,0.0,0.7330097,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTI5MzcsImp0aSI6IjIyMjhjNzJjLWMyYjUtNGFiNS05M2Y2LTg4MzU2MTVmMGRjNyJ9.,2023-08-09 14:58:09 UTC
0.0,2,5,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:28:56 UTC
0.0,7,10,0.0,0.0,0.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:29:01 UTC
1.0,18,15,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:29:06 UTC
1.0,23,20,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:29:11 UTC
2.0,31,25,0.0,0.0,0.9166667,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:29:16 UTC
3.0,38,30,0.0,0.0,0.9230769,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:29:54 UTC
5.0,47,35,0.0,0.0,0.7692308,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:29:59 UTC
5.0,67,40,0.0,0.0,0.7142857,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:04 UTC
8.0,72,45,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:09 UTC
10.0,100,50,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:14 UTC
12.0,111,55,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:19 UTC
13.0,121,60,0.0,0.0,0.7727273,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:24 UTC
13.0,125,65,0.0,0.0,0.7727273,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:29 UTC
14.0,126,70,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:34 UTC
16.0,122,75,0.0,0.0,0.7407407,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:39 UTC
21.0,136,80,0.0,0.0,0.77,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:44 UTC
24.0,149,85,0.0,0.0,0.7368421,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:49 UTC
25.0,155,90,0.0,0.0,0.725,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:54 UTC
27.0,153,95,0.0,0.0,0.7165354,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTQ4NDUsImp0aSI6IjdmNjk2MzBmLTVhNTItNGY2Zi1iMjYyLTY2ODYxODMyYTI1ZSJ9.,2023-08-09 15:30:59 UTC
1.0,2,5,0.0,0.0,1.0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU1MDEsImp0aSI6Ijg1NGExODAzLWVkNWMtNGI1NC05ODRlLTQzNzk4ZTIzMmRjYSJ9.,2023-08-09 15:39:43 UTC
4.0,37,10,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU1MDEsImp0aSI6Ijg1NGExODAzLWVkNWMtNGI1NC05ODRlLTQzNzk4ZTIzMmRjYSJ9.,2023-08-09 15:39:48 UTC
4.0,38,15,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU1MDEsImp0aSI6Ijg1NGExODAzLWVkNWMtNGI1NC05ODRlLTQzNzk4ZTIzMmRjYSJ9.,2023-08-09 15:39:53 UTC
6.0,47,20,0.0,0.0,0.7741935,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU1MDEsImp0aSI6Ijg1NGExODAzLWVkNWMtNGI1NC05ODRlLTQzNzk4ZTIzMmRjYSJ9.,2023-08-09 15:39:58 UTC
6.0,60,25,0.0,0.0,0.7741935,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU1MDEsImp0aSI6Ijg1NGExODAzLWVkNWMtNGI1NC05ODRlLTQzNzk4ZTIzMmRjYSJ9.,2023-08-09 15:40:03 UTC
1.0,3,5,0.0,0.0,0.8571429,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:42:40 UTC
2.0,16,10,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:42:45 UTC
2.0,19,15,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:42:50 UTC
4.0,25,20,0.0,0.0,0.8181818,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:42:55 UTC
5.0,42,25,0.0,0.0,0.8518519,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:00 UTC
6.0,47,30,0.0,0.0,0.8181818,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:05 UTC
8.0,54,35,0.0,0.0,0.8048781,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:10 UTC
10.0,73,40,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:15 UTC
10.0,80,45,0.0,0.0,0.8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:20 UTC
10.0,96,50,0.0,0.0,0.8076923,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:25 UTC
12.0,108,55,0.0,0.0,0.8196721,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:30 UTC
15.0,126,60,0.0,0.0,0.8552632,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:35 UTC
19.0,142,65,0.0,0.0,0.8444445,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:40 UTC
20.0,147,70,0.0,0.0,0.8469388,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:45 UTC
25.0,155,75,0.0,0.0,0.8403361,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:50 UTC
29.0,160,80,0.0,0.0,0.837037,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:43:55 UTC
31.0,169,85,0.0,0.0,0.8206897,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:44:00 UTC
35.0,168,90,0.0,0.0,0.8121212,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:44:05 UTC
41.0,178,95,0.0,0.0,0.8031915,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU2ODgsImp0aSI6IjAwNGJjNzYyLWM4ZWUtNDZkNC05YWIwLWY5NWE5YTgzZjM1YyJ9.,2023-08-09 15:44:10 UTC
0.0,2,5,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:47:52 UTC
0.0,10,10,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:47:57 UTC
0.0,12,15,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:48:02 UTC
0.0,17,20,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:49:55 UTC
0.0,22,25,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:50:00 UTC
0.0,25,30,0.0,0.0,0.75,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:50:05 UTC
2.0,36,35,0.0,0.0,0.7333333,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:50:10 UTC
5.0,59,40,0.0,0.0,0.7,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:50:15 UTC
8.0,73,45,0.0,0.0,0.744186,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE1OTU5NzAsImp0aSI6Ijc2MmIyMDk2LTcwZjMtNDJhYy05ODhhLTYyNTc3YjcxYmJiMSJ9.,2023-08-09 15:50:20 UTC
